chr	start	end	targetChr	targetStart	targetEnd
2	155370000	155380000	2	157190000	157200000
2	155370000	155380000	2	157310000	157320000
2	155380000	155390000	2	156590000	156600000
2	156190000	156200000	2	156590000	156600000
1	59970000	59980000	1	61850000	61860000
2	156330000	156340000	2	156580000	156590000
2	156330000	156340000	2	156890000	156900000
2	156330000	156340000	2	156420000	156430000
2	157300000	157310000	2	157600000	157610000
2	157310000	157320000	2	158000000	158010000
2	157310000	157320000	2	158760000	158770000
2	157320000	157330000	2	157480000	157490000
2	157500000	157510000	2	157590000	157600000
2	157500000	157510000	2	158010000	158020000
2	157500000	157510000	2	158750000	158760000
1	60280000	60290000	1	61590000	61600000
2	157770000	157780000	2	158000000	158010000
2	157780000	157790000	2	158750000	158760000
2	158020000	158030000	2	158750000	158760000
2	158030000	158040000	2	158170000	158180000
2	158030000	158040000	2	158460000	158470000
2	158030000	158040000	2	158650000	158660000
2	158170000	158180000	2	158750000	158760000
2	158460000	158470000	2	158740000	158750000
2	158900000	158910000	2	159110000	159120000
1	60840000	60850000	1	60960000	60970000
2	160100000	160110000	2	160990000	161000000
2	160340000	160350000	2	160980000	160990000
2	161230000	161240000	2	162300000	162310000
2	161580000	161590000	2	161940000	161950000
2	161580000	161590000	2	162120000	162130000
2	161580000	161590000	2	162290000	162300000
2	162000000	162010000	2	162120000	162130000
2	162140000	162150000	2	162300000	162310000
2	162890000	162900000	2	163130000	163140000
2	181070000	181080000	2	182070000	182080000
1	60840000	60850000	1	61040000	61050000
2	181740000	181750000	2	182070000	182080000
2	181740000	181750000	2	182640000	182650000
2	182180000	182190000	2	182970000	182980000
2	182180000	182190000	2	182640000	182650000
2	182670000	182680000	2	182970000	182980000
2	182780000	182790000	2	182970000	182980000
2	184610000	184620000	2	186260000	186270000
2	185290000	185300000	2	186250000	186260000
2	185290000	185300000	2	186450000	186460000
2	185520000	185530000	2	186250000	186260000
1	60840000	60850000	1	61450000	61460000
2	185520000	185530000	2	186450000	186460000
2	186500000	186510000	2	186640000	186650000
2	186860000	186870000	2	187450000	187460000
2	187490000	187500000	2	187840000	187850000
2	187490000	187500000	2	188510000	188520000
2	187500000	187510000	2	188360000	188370000
2	187580000	187590000	2	188510000	188520000
2	187580000	187590000	2	189410000	189420000
2	188520000	188530000	2	189280000	189290000
2	188520000	188530000	2	189410000	189420000
1	60970000	60980000	1	61450000	61460000
2	189090000	189100000	2	189410000	189420000
2	190080000	190090000	2	190800000	190810000
2	190090000	190100000	2	190290000	190300000
2	190380000	190390000	2	190800000	190810000
2	190520000	190530000	2	190660000	190670000
2	190780000	190790000	2	191020000	191030000
2	191050000	191060000	2	191520000	191530000
1	60970000	60980000	1	61580000	61590000
2	191220000	191230000	2	191510000	191520000
2	191550000	191560000	2	192160000	192170000
2	191560000	191570000	2	191690000	191700000
2	191810000	191820000	2	192160000	192170000
2	192180000	192190000	2	193580000	193590000
2	193100000	193110000	2	193580000	193590000
2	194160000	194170000	2	195310000	195320000
2	194160000	194170000	2	195940000	195950000
2	196080000	196090000	2	196280000	196290000
1	60980000	60990000	1	61840000	61850000
2	196080000	196090000	2	196440000	196450000
2	196160000	196170000	2	196260000	196270000
2	196290000	196300000	2	196750000	196760000
2	196780000	196790000	2	197390000	197400000
2	197110000	197120000	2	197370000	197380000
2	197180000	197190000	2	197370000	197380000
2	197190000	197200000	2	197300000	197310000
2	197800000	197810000	2	198120000	198130000
2	197800000	197810000	2	198290000	198300000
1	23550000	23560000	1	23630000	23640000
1	61040000	61050000	1	61450000	61460000
2	198300000	198310000	2	199740000	199750000
2	198310000	198320000	2	199480000	199490000
2	162880000	162890000	2	164480000	164490000
2	163160000	163170000	2	164600000	164610000
2	163160000	163170000	2	164710000	164720000
2	163160000	163170000	2	164910000	164920000
2	163170000	163180000	2	164470000	164480000
2	163180000	163190000	2	164060000	164070000
2	163340000	163350000	2	164060000	164070000
1	61950000	61960000	1	62060000	62070000
2	163460000	163470000	2	164050000	164060000
2	165000000	165010000	2	165300000	165310000
2	165000000	165010000	2	165870000	165880000
2	165010000	165020000	2	165210000	165220000
2	165230000	165240000	2	165870000	165880000
2	165400000	165410000	2	165870000	165880000
2	166180000	166190000	2	166400000	166410000
2	166530000	166540000	2	168110000	168120000
2	166540000	166550000	2	167210000	167220000
1	61940000	61950000	1	62130000	62140000
2	167120000	167130000	2	167210000	167220000
2	167130000	167140000	2	168110000	168120000
2	167270000	167280000	2	168110000	168120000
2	167960000	167970000	2	168110000	168120000
2	168140000	168150000	2	168910000	168920000
2	168150000	168160000	2	168330000	168340000
2	168150000	168160000	2	168690000	168700000
2	168250000	168260000	2	168910000	168920000
2	168340000	168350000	2	168910000	168920000
1	62170000	62180000	1	62400000	62410000
2	168340000	168350000	2	168690000	168700000
2	168960000	168970000	2	169130000	169140000
2	168960000	168970000	2	169390000	169400000
2	169450000	169460000	2	169930000	169940000
2	169450000	169460000	2	170380000	170390000
2	169450000	169460000	2	170800000	170810000
2	169930000	169940000	2	170800000	170810000
2	170380000	170390000	2	170800000	170810000
1	62170000	62180000	1	62740000	62750000
2	170960000	170970000	2	171420000	171430000
2	170970000	170980000	2	171150000	171160000
2	171160000	171170000	2	171410000	171420000
2	171580000	171590000	2	172110000	172120000
2	171580000	171590000	2	172480000	172490000
2	171700000	171710000	2	172110000	172120000
2	171700000	171710000	2	172470000	172480000
2	172150000	172160000	2	172710000	172720000
2	172170000	172180000	2	172460000	172470000
1	62500000	62510000	1	62740000	62750000
2	172800000	172810000	2	172930000	172940000
2	172800000	172810000	2	173210000	173220000
2	173020000	173030000	2	173210000	173220000
2	173020000	173030000	2	174340000	174350000
2	173390000	173400000	2	174340000	174350000
2	173400000	173410000	2	173750000	173760000
2	173750000	173760000	2	174340000	174350000
2	174460000	174470000	2	174540000	174550000
2	174580000	174590000	2	174680000	174690000
2	174700000	174710000	2	174990000	175000000
1	62840000	62850000	1	63530000	63540000
2	174760000	174770000	2	174980000	174990000
2	176120000	176130000	2	176640000	176650000
2	176120000	176130000	2	177140000	177150000
2	176120000	176130000	2	177760000	177770000
2	176130000	176140000	2	176450000	176460000
1	62840000	62850000	1	64230000	64240000
2	176130000	176140000	2	176550000	176560000
2	176450000	176460000	2	177140000	177150000
2	177160000	177170000	2	177740000	177750000
2	177160000	177170000	2	177320000	177330000
2	177160000	177170000	2	177410000	177420000
2	177250000	177260000	2	177750000	177760000
2	177330000	177340000	2	177410000	177420000
2	177330000	177340000	2	177740000	177750000
2	177410000	177420000	2	177730000	177740000
2	177490000	177500000	2	177720000	177730000
1	63320000	63330000	1	63440000	63450000
2	178110000	178120000	2	179750000	179760000
2	178120000	178130000	2	178410000	178420000
2	178770000	178780000	2	179440000	179450000
2	178770000	178780000	2	179740000	179750000
2	178790000	178800000	2	179130000	179140000
2	178890000	178900000	2	179130000	179140000
2	179220000	179230000	2	179340000	179350000
2	179220000	179230000	2	179430000	179440000
2	180120000	180130000	2	181050000	181060000
1	63610000	63620000	1	64240000	64250000
2	180120000	180130000	2	181730000	181740000
2	181070000	181080000	2	181900000	181910000
2	181080000	181090000	2	181560000	181570000
2	181080000	181090000	2	181710000	181720000
2	181090000	181100000	2	181460000	181470000
2	181100000	181110000	2	181300000	181310000
2	181570000	181580000	2	181710000	181720000
2	199970000	199980000	2	200700000	200710000
1	24190000	24200000	1	24390000	24400000
1	63620000	63630000	1	64130000	64140000
2	199960000	199970000	2	201170000	201180000
2	199970000	199980000	2	200480000	200490000
2	199980000	199990000	2	200370000	200380000
2	200580000	200590000	2	200700000	200710000
2	200900000	200910000	2	201170000	201180000
2	201240000	201250000	2	201360000	201370000
2	201250000	201260000	2	202180000	202190000
1	63680000	63690000	1	64130000	64140000
2	201660000	201670000	2	202170000	202180000
2	201790000	201800000	2	202170000	202180000
2	202570000	202580000	2	203450000	203460000
2	202570000	202580000	2	203810000	203820000
2	203480000	203490000	2	203810000	203820000
2	203480000	203490000	2	203910000	203920000
2	204020000	204030000	2	205930000	205940000
2	204110000	204120000	2	205930000	205940000
2	204320000	204330000	2	205670000	205680000
1	63690000	63700000	1	63910000	63920000
2	204320000	204330000	2	205940000	205950000
2	204870000	204880000	2	205670000	205680000
2	205680000	205690000	2	205920000	205930000
2	205760000	205770000	2	205920000	205930000
2	206010000	206020000	2	206140000	206150000
2	206160000	206170000	2	206260000	206270000
2	206690000	206700000	2	207480000	207490000
2	206690000	206700000	2	208060000	208070000
2	206770000	206780000	2	207610000	207620000
2	206780000	206790000	2	207720000	207730000
1	64260000	64270000	1	65680000	65690000
2	206780000	206790000	2	208050000	208060000
2	206800000	206810000	2	207470000	207480000
2	206980000	206990000	2	207470000	207480000
2	207040000	207050000	2	207460000	207470000
2	207620000	207630000	2	207720000	207730000
2	207740000	207750000	2	208050000	208060000
2	208100000	208110000	2	209320000	209330000
2	208380000	208390000	2	209310000	209320000
2	209330000	209340000	2	209570000	209580000
1	64270000	64280000	1	64670000	64680000
2	209330000	209340000	2	209960000	209970000
2	209330000	209340000	2	210200000	210210000
2	209420000	209430000	2	209550000	209560000
2	209420000	209430000	2	209960000	209970000
2	209420000	209430000	2	210190000	210200000
2	209570000	209580000	2	209950000	209960000
2	209980000	209990000	2	210190000	210200000
2	210250000	210260000	2	211160000	211170000
2	210440000	210450000	2	211030000	211040000
2	210440000	210450000	2	211150000	211160000
1	64270000	64280000	1	64820000	64830000
2	210610000	210620000	2	211030000	211040000
2	210610000	210620000	2	211150000	211160000
2	211080000	211090000	2	212560000	212570000
2	211450000	211460000	2	212560000	212570000
2	211740000	211750000	2	212560000	212570000
2	212680000	212690000	2	213160000	213170000
2	212680000	212690000	2	213240000	213250000
2	212770000	212780000	2	213220000	213230000
2	213250000	213260000	2	215000000	215010000
1	64270000	64280000	1	65050000	65060000
2	213800000	213810000	2	215270000	215280000
2	215450000	215460000	2	215820000	215830000
2	215450000	215460000	2	215910000	215920000
2	216510000	216520000	2	216660000	216670000
2	216520000	216530000	2	217730000	217740000
2	216680000	216690000	2	217750000	217760000
2	216690000	216700000	2	217160000	217170000
2	216690000	216700000	2	217500000	217510000
1	64680000	64690000	1	64820000	64830000
2	235770000	235780000	2	237070000	237080000
2	235780000	235790000	2	236170000	236180000
2	235780000	235790000	2	236330000	236340000
2	236180000	236190000	2	237070000	237080000
2	236340000	236350000	2	237060000	237070000
2	236510000	236520000	2	237040000	237050000
2	236580000	236590000	2	237040000	237050000
2	237590000	237600000	2	237740000	237750000
1	64840000	64850000	1	65040000	65050000
2	237590000	237600000	2	237670000	237680000
2	238350000	238360000	2	238790000	238800000
2	238350000	238360000	2	238960000	238970000
2	240850000	240860000	2	241660000	241670000
2	241690000	241700000	2	241870000	241880000
2	218180000	218190000	2	218840000	218850000
1	65060000	65070000	1	65210000	65220000
2	219030000	219040000	2	219140000	219150000
2	219400000	219410000	2	219520000	219530000
2	219730000	219740000	2	221580000	221590000
2	222040000	222050000	2	222580000	222590000
2	222690000	222700000	2	222900000	222910000
2	222710000	222720000	2	222790000	222800000
1	24190000	24200000	1	24620000	24630000
1	65060000	65070000	1	65680000	65690000
2	222970000	222980000	2	223790000	223800000
2	222970000	222980000	2	224280000	224290000
2	223300000	223310000	2	223790000	223800000
2	223970000	223980000	2	224350000	224360000
2	223970000	223980000	2	224440000	224450000
2	223980000	223990000	2	224280000	224290000
2	223980000	223990000	2	224650000	224660000
2	223980000	223990000	2	225650000	225660000
2	224350000	224360000	2	225650000	225660000
1	65220000	65230000	1	65680000	65690000
2	224350000	224360000	2	224770000	224780000
2	224360000	224370000	2	224450000	224460000
2	224360000	224370000	2	224640000	224650000
2	224460000	224470000	2	224640000	224650000
2	224640000	224650000	2	225650000	225660000
2	224790000	224800000	2	225650000	225660000
2	224860000	224870000	2	225650000	225660000
2	224920000	224930000	2	225650000	225660000
2	225000000	225010000	2	225650000	225660000
2	225670000	225680000	2	226800000	226810000
1	65950000	65960000	1	66450000	66460000
2	225670000	225680000	2	226980000	226990000
2	225670000	225680000	2	227100000	227110000
2	225670000	225680000	2	227240000	227250000
2	225880000	225890000	2	226800000	226810000
2	225880000	225890000	2	227100000	227110000
2	225890000	225900000	2	226980000	226990000
2	226210000	226220000	2	226800000	226810000
2	226640000	226650000	2	226780000	226790000
2	226800000	226810000	2	227100000	227110000
2	226810000	226820000	2	226980000	226990000
1	65950000	65960000	1	66720000	66730000
2	227130000	227140000	2	227230000	227240000
2	227130000	227140000	2	227770000	227780000
2	227130000	227140000	2	227860000	227870000
2	227390000	227400000	2	227760000	227770000
2	227470000	227480000	2	227760000	227770000
2	227650000	227660000	2	227760000	227770000
2	227890000	227900000	2	229580000	229590000
2	229790000	229800000	2	230800000	230810000
1	65960000	65970000	1	66230000	66240000
2	229800000	229810000	2	229910000	229920000
2	230000000	230010000	2	230160000	230170000
2	230000000	230010000	2	230610000	230620000
2	230840000	230850000	2	230980000	230990000
2	231100000	231110000	2	231420000	231430000
2	231230000	231240000	2	231400000	231410000
2	231910000	231920000	2	232430000	232440000
2	231910000	231920000	2	232320000	232330000
1	66250000	66260000	1	66440000	66450000
2	232330000	232340000	2	232430000	232440000
2	233270000	233280000	2	233440000	233450000
2	233970000	233980000	2	235100000	235110000
2	233980000	233990000	2	234500000	234510000
2	234130000	234140000	2	234500000	234510000
2	234540000	234550000	2	235110000	235120000
2	234550000	234560000	2	235590000	235600000
2	234550000	234560000	2	235740000	235750000
2	235130000	235140000	2	235580000	235590000
1	66250000	66260000	1	66720000	66730000
2	235130000	235140000	2	235740000	235750000
2	235590000	235600000	2	235740000	235750000
3	1440000	1450000	3	3010000	3020000
3	3200000	3210000	3	3990000	4000000
3	4350000	4360000	3	4630000	4640000
3	4710000	4720000	3	5050000	5060000
3	5230000	5240000	3	6800000	6810000
3	5300000	5310000	3	6800000	6810000
3	7280000	7290000	3	8100000	8110000
3	8310000	8320000	3	8410000	8420000
1	66260000	66270000	1	66340000	66350000
3	8970000	8980000	3	9300000	9310000
3	9500000	9510000	3	9710000	9720000
3	9500000	9510000	3	10730000	10740000
3	10340000	10350000	3	10730000	10740000
3	11230000	11240000	3	11330000	11340000
3	11370000	11380000	3	11820000	11830000
3	11650000	11660000	3	11800000	11810000
3	12130000	12140000	3	12880000	12890000
1	66370000	66380000	1	66730000	66740000
3	12140000	12150000	3	12470000	12480000
3	13080000	13090000	3	13460000	13470000
3	13200000	13210000	3	13460000	13470000
3	13490000	13500000	3	13640000	13650000
3	13490000	13500000	3	13870000	13880000
3	13660000	13670000	3	13870000	13880000
3	13900000	13910000	3	14460000	14470000
3	14200000	14210000	3	14460000	14470000
3	14260000	14270000	3	14460000	14470000
3	14500000	14510000	3	14920000	14930000
1	66760000	66770000	1	67140000	67150000
3	14670000	14680000	3	14910000	14920000
3	15180000	15190000	3	16240000	16250000
3	15220000	15230000	3	15560000	15570000
3	15250000	15260000	3	15390000	15400000
3	15620000	15630000	3	15800000	15810000
3	15820000	15830000	3	16240000	16250000
3	16270000	16280000	3	17230000	17240000
3	16270000	16280000	3	17400000	17410000
3	16280000	16290000	3	16540000	16550000
3	16590000	16600000	3	17230000	17240000
1	24670000	24680000	1	24820000	24830000
1	66760000	66770000	1	67200000	67210000
3	16600000	16610000	3	17400000	17410000
3	16590000	16600000	3	17830000	17840000
3	17260000	17270000	3	19000000	19010000
3	17430000	17440000	3	17830000	17840000
3	17430000	17440000	3	18990000	19000000
3	17850000	17860000	3	18990000	19000000
3	17900000	17910000	3	18380000	18390000
3	18420000	18430000	3	18750000	18760000
3	18560000	18570000	3	18750000	18760000
3	19050000	19060000	3	20190000	20200000
1	66760000	66770000	1	67490000	67500000
3	19950000	19960000	3	20030000	20040000
3	20510000	20520000	3	21480000	21490000
3	20510000	20520000	3	21890000	21900000
3	20510000	20520000	3	22110000	22120000
3	21750000	21760000	3	21890000	21900000
3	23200000	23210000	3	23790000	23800000
3	23890000	23900000	3	24240000	24250000
1	66980000	66990000	1	67500000	67510000
3	23930000	23940000	3	25590000	25600000
3	24000000	24010000	3	24230000	24240000
3	24010000	24020000	3	25590000	25600000
3	24680000	24690000	3	25580000	25590000
3	24770000	24780000	3	25590000	25600000
3	24960000	24970000	3	25580000	25590000
3	25640000	25650000	3	25760000	25770000
3	25640000	25650000	3	25830000	25840000
3	25640000	25650000	3	26710000	26720000
3	25650000	25660000	3	26110000	26120000
1	66990000	67000000	1	67140000	67150000
3	25840000	25850000	3	27120000	27130000
3	25840000	25850000	3	26710000	26720000
3	25840000	25850000	3	27260000	27270000
3	27130000	27140000	3	28320000	28330000
3	27320000	27330000	3	28330000	28340000
3	27330000	27340000	3	27670000	27680000
3	27360000	27370000	3	28330000	28340000
3	27470000	27480000	3	27670000	27680000
3	27470000	27480000	3	28330000	28340000
3	27710000	27720000	3	28320000	28330000
1	67220000	67230000	1	67490000	67500000
3	28470000	28480000	3	28720000	28730000
3	28910000	28920000	3	29760000	29770000
3	28910000	28920000	3	30730000	30740000
3	30030000	30040000	3	30740000	30750000
3	30770000	30780000	3	31690000	31700000
3	30770000	30780000	3	31760000	31770000
3	31860000	31870000	3	32130000	32140000
3	32170000	32180000	3	32330000	32340000
3	32380000	32390000	3	32460000	32470000
3	32510000	32520000	3	32660000	32670000
3	32510000	32520000	3	32930000	32940000
3	32730000	32740000	3	32920000	32930000
3	32950000	32960000	3	33070000	33080000
3	32950000	32960000	3	33370000	33380000
3	33130000	33140000	3	33780000	33790000
3	33130000	33140000	3	33370000	33380000
3	33630000	33640000	3	33780000	33790000
3	34250000	34260000	3	35930000	35940000
1	67530000	67540000	1	68110000	68120000
3	34880000	34890000	3	35640000	35650000
3	34880000	34890000	3	35920000	35930000
3	35290000	35300000	3	35640000	35650000
3	35960000	35970000	3	36700000	36710000
3	35960000	35970000	3	36850000	36860000
3	36730000	36740000	3	36860000	36870000
3	36730000	36740000	3	37210000	37220000
3	37300000	37310000	3	37810000	37820000
1	67540000	67550000	1	67750000	67760000
3	37450000	37460000	3	37770000	37780000
3	37860000	37870000	3	37960000	37970000
3	54430000	54440000	3	56240000	56250000
3	54840000	54850000	3	56250000	56260000
3	54840000	54850000	3	56310000	56320000
3	55470000	55480000	3	56250000	56260000
3	56700000	56710000	3	56980000	56990000
3	56700000	56710000	3	56790000	56800000
3	56800000	56810000	3	56980000	56990000
3	57090000	57100000	3	57580000	57590000
1	67770000	67780000	1	68340000	68350000
3	57100000	57110000	3	57850000	57860000
3	57170000	57180000	3	57570000	57580000
3	57170000	57180000	3	57840000	57850000
3	58000000	58010000	3	58160000	58170000
3	58310000	58320000	3	58520000	58530000
3	58320000	58330000	3	58410000	58420000
3	59210000	59220000	3	59850000	59860000
3	59570000	59580000	3	59850000	59860000
1	67840000	67850000	1	68340000	68350000
3	61860000	61870000	3	62180000	62190000
3	62200000	62210000	3	62550000	62560000
3	62330000	62340000	3	62550000	62560000
3	62620000	62630000	3	63330000	63340000
3	62660000	62670000	3	63190000	63200000
3	63340000	63350000	3	63990000	64000000
3	63340000	63350000	3	64480000	64490000
3	63850000	63860000	3	64000000	64010000
1	24850000	24860000	1	25210000	25220000
1	67850000	67860000	1	68000000	68010000
3	63920000	63930000	3	64000000	64010000
3	64030000	64040000	3	64470000	64480000
3	64530000	64540000	3	65430000	65440000
3	64530000	64540000	3	65730000	65740000
3	64530000	64540000	3	66190000	66200000
3	65340000	65350000	3	65420000	65430000
3	65340000	65350000	3	66190000	66200000
3	65780000	65790000	3	66130000	66140000
3	65780000	65790000	3	66830000	66840000
3	66250000	66260000	3	66980000	66990000
1	67850000	67860000	1	68110000	68120000
3	66260000	66270000	3	66820000	66830000
3	66270000	66280000	3	66390000	66400000
3	66380000	66390000	3	66820000	66830000
3	66400000	66410000	3	66490000	66500000
3	66500000	66510000	3	66810000	66820000
3	66940000	66950000	3	68880000	68890000
3	67110000	67120000	3	67790000	67800000
3	67110000	67120000	3	68870000	68880000
3	67110000	67120000	3	68960000	68970000
3	67380000	67390000	3	67700000	67710000
1	67850000	67860000	1	69730000	69740000
3	67380000	67390000	3	67790000	67800000
3	67380000	67390000	3	68010000	68020000
3	67380000	67390000	3	68870000	68880000
3	67810000	67820000	3	68870000	68880000
3	69150000	69160000	3	69670000	69680000
3	69150000	69160000	3	69940000	69950000
3	69160000	69170000	3	69420000	69430000
3	69160000	69170000	3	69300000	69310000
3	69320000	69330000	3	69410000	69420000
3	69310000	69320000	3	69660000	69670000
1	68120000	68130000	1	68340000	68350000
3	69440000	69450000	3	69660000	69670000
3	70060000	70070000	3	70360000	70370000
3	70070000	70080000	3	71660000	71670000
3	70060000	70070000	3	71840000	71850000
3	70360000	70370000	3	71640000	71650000
3	70540000	70550000	3	71300000	71310000
3	70530000	70540000	3	71660000	71670000
3	70540000	70550000	3	71590000	71600000
3	70700000	70710000	3	71630000	71640000
3	70710000	70720000	3	71590000	71600000
3	71700000	71710000	3	73070000	73080000
3	71710000	71720000	3	72830000	72840000
3	71720000	71730000	3	71860000	71870000
3	71870000	71880000	3	72820000	72830000
3	71870000	71880000	3	73070000	73080000
3	72850000	72860000	3	73070000	73080000
3	73100000	73110000	3	73430000	73440000
3	73100000	73110000	3	73490000	73500000
3	73110000	73120000	3	73840000	73850000
1	68120000	68130000	1	69730000	69740000
3	73510000	73520000	3	73840000	73850000
3	37980000	37990000	3	38650000	38660000
3	38120000	38130000	3	38480000	38490000
3	38510000	38520000	3	38650000	38660000
3	38510000	38520000	3	39000000	39010000
3	40320000	40330000	3	42100000	42110000
1	68460000	68470000	1	69730000	69740000
3	40330000	40340000	3	41870000	41880000
3	40580000	40590000	3	41870000	41880000
3	41890000	41900000	3	42100000	42110000
3	42110000	42120000	3	42210000	42220000
3	42240000	42250000	3	42540000	42550000
3	43150000	43160000	3	43500000	43510000
3	43220000	43230000	3	43490000	43500000
3	43540000	43550000	3	43740000	43750000
3	43540000	43550000	3	44200000	44210000
3	43760000	43770000	3	44200000	44210000
1	68590000	68600000	1	69730000	69740000
3	44530000	44540000	3	44910000	44920000
3	45030000	45040000	3	45490000	45500000
3	45030000	45040000	3	45650000	45660000
3	45030000	45040000	3	45930000	45940000
3	45040000	45050000	3	45210000	45220000
3	45510000	45520000	3	45650000	45660000
3	45940000	45950000	3	46070000	46080000
3	46090000	46100000	3	46360000	46370000
3	46700000	46710000	3	46890000	46900000
3	47520000	47530000	3	47790000	47800000
1	70130000	70140000	1	70500000	70510000
3	47830000	47840000	3	47980000	47990000
3	47830000	47840000	3	48150000	48160000
3	50350000	50360000	3	50540000	50550000
3	50430000	50440000	3	50540000	50550000
3	50620000	50630000	3	51370000	51380000
3	52000000	52010000	3	52130000	52140000
1	70130000	70140000	1	71050000	71060000
3	52850000	52860000	3	53070000	53080000
3	53110000	53120000	3	53710000	53720000
3	53210000	53220000	3	53710000	53720000
